volt,cap
0.000,4.700
0.050,4.704
0.100,4.706
0.150,4.704
0.200,4.700
0.250,4.694
0.300,4.685
0.350,4.674
0.400,4.660
0.450,4.645
0.500,4.628
0.550,4.609
0.600,4.588
0.650,4.566
0.700,4.542
0.750,4.517
0.800,4.491
0.850,4.463
0.900,4.435
0.950,4.405
1.000,4.374
1.050,4.343
1.100,4.310
1.150,4.277
1.200,4.243
1.250,4.209
1.300,4.174
1.350,4.139
1.400,4.103
1.450,4.067
1.500,4.030
1.550,3.994
1.600,3.957
1.650,3.920
1.700,3.883
1.750,3.845
1.800,3.808
1.850,3.770
1.900,3.733
1.950,3.696
2.000,3.659
2.050,3.621
2.100,3.584
2.150,3.547
2.200,3.511
2.250,3.474
2.300,3.438
2.350,3.402
2.400,3.366
2.450,3.330
2.500,3.295
2.550,3.259
2.600,3.225
2.650,3.190
2.700,3.156
2.750,3.122
2.800,3.088
2.850,3.055
2.900,3.022
2.950,2.989
3.000,2.957
3.050,2.925
3.100,2.893
3.150,2.862
3.200,2.831
3.250,2.800
3.300,2.770
3.350,2.740
3.400,2.710
3.450,2.681
3.500,2.652
3.550,2.624
3.600,2.595
3.650,2.568
3.700,2.540
3.750,2.513
3.800,2.486
3.850,2.460
3.900,2.433
3.950,2.408
4.000,2.382
4.050,2.357
4.100,2.332
4.150,2.308
4.200,2.283
4.250,2.259
4.300,2.236
4.350,2.213
4.400,2.190
4.450,2.167
4.500,2.145
4.550,2.123
4.600,2.101
4.650,2.079
4.700,2.058
4.750,2.037
4.800,2.016
4.850,1.996
4.900,1.976
4.950,1.956
5.000,1.937
5.050,1.917
5.100,1.898
5.150,1.879
5.200,1.861
5.250,1.842
5.300,1.824
5.350,1.806
5.400,1.789
5.450,1.771
5.500,1.754
5.550,1.737
5.600,1.721
5.650,1.704
5.700,1.688
5.750,1.672
5.800,1.656
5.850,1.640
5.900,1.625
5.950,1.610
6.000,1.595
6.050,1.580
6.100,1.565
6.150,1.550
6.200,1.536
6.250,1.522
6.300,1.508
6.350,1.494
6.400,1.481
6.450,1.467
6.500,1.454
6.550,1.441
6.600,1.428
6.650,1.415
6.700,1.403
6.750,1.390
6.800,1.378
6.850,1.366
6.900,1.354
6.950,1.342
7.000,1.330
7.050,1.318
7.100,1.307
7.150,1.296
7.200,1.285
7.250,1.274
7.300,1.263
7.350,1.252
7.400,1.241
7.450,1.231
7.500,1.220
7.550,1.210
7.600,1.200
7.650,1.190
7.700,1.180
7.750,1.170
7.800,1.161
7.850,1.151
7.900,1.142
7.950,1.132
8.000,1.123
8.050,1.114
8.100,1.105
8.150,1.096
8.200,1.087
8.250,1.079
8.300,1.070
8.350,1.062
8.400,1.053
8.450,1.045
8.500,1.037
8.550,1.028
8.600,1.020
8.650,1.013
8.700,1.005
8.750,0.997
8.800,0.989
8.850,0.982
8.900,0.974
8.950,0.967
9.000,0.960
9.050,0.952
9.100,0.945
9.150,0.938
9.200,0.931
9.250,0.924
9.300,0.917
9.350,0.911
9.400,0.904
9.450,0.897
9.500,0.891
9.550,0.884
9.600,0.878
9.650,0.872
9.700,0.865
9.750,0.859
9.800,0.853
9.850,0.847
9.900,0.841
9.950,0.835
10.000,0.829
