volt,cap
0,100
0.05,100.1
0.1,100.2
0.15,100.2
0.2,100.2
0.25,100.1
0.3,100
0.35,99.8
0.4,99.7
0.45,99.4
0.5,99.2
0.55,98.8
0.6,98.5
0.65,98.1
0.7,97.8
0.75,97.3
0.8,96.9
0.85,96.4
0.9,95.9
0.95,95.4
1,94.9
1.05,94.3
1.1,93.7
1.15,93.2
1.2,92.6
1.25,91.9
1.3,91.3
1.35,90.7
1.4,90
1.45,89.4
1.5,88.7
1.55,88
1.6,87.3
1.65,86.6
1.7,86
1.75,85.3
1.8,84.6
1.85,83.8
1.9,83.1
1.95,82.4
2,81.7
2.05,81
2.1,80.3
2.15,79.6
2.2,78.9
2.25,78.2
2.3,77.5
2.35,76.7
2.4,76
2.45,75.3
2.5,74.6
2.55,73.9
2.6,73.3
2.65,72.6
2.7,71.9
2.75,71.2
2.8,70.5
2.85,69.8
2.9,69.2
2.95,68.5
3,67.8
3.05,67.2
3.1,66.5
3.15,65.9
3.2,65.3
3.25,64.6
3.3,64
3.35,63.4
3.4,62.8
3.45,62.1
3.5,61.5
3.55,60.9
3.6,60.3
3.65,59.7
3.7,59.2
3.75,58.6
3.8,58
3.85,57.4
3.9,56.9
3.95,56.3
4,55.8
4.05,55.2
4.1,54.7
4.15,54.2
4.2,53.6
4.25,53.1
4.3,52.6
4.35,52.1
4.4,51.6
4.45,51.1
4.5,50.6
4.55,50.1
4.6,49.6
4.65,49.1
4.7,48.7
4.75,48.2
4.8,47.7
4.85,47.3
4.9,46.8
4.95,46.4
5,45.9
5.05,45.5
5.1,45.1
5.15,44.7
5.2,44.2
5.25,43.8
5.3,43.4
5.35,43
5.4,42.6
5.45,42.2
5.5,41.8
5.55,41.4
5.6,41
5.65,40.7
5.7,40.3
5.75,39.9
5.8,39.5
5.85,39.2
5.9,38.8
5.95,38.5
6,38.1
6.05,37.8
6.1,37.4
6.15,37.1
6.2,36.8
6.25,36.4
6.3,36.1
6.35,35.8
6.4,35.5
6.45,35.1
6.5,34.8
6.55,34.5
6.6,34.2
6.65,33.9
6.7,33.6
6.75,33.3
6.8,33
6.85,32.8
6.9,32.5
6.95,32.2
7,31.9
7.05,31.6
7.1,31.4
7.15,31.1
7.2,30.8
7.25,30.6
7.3,30.3
7.35,30.1
7.4,29.8
7.45,29.6
7.5,29.3
7.55,29.1
7.6,28.8
7.65,28.6
7.7,28.3
7.75,28.1
7.8,27.9
7.85,27.7
7.9,27.4
7.95,27.2
8,27
8.05,26.8
8.1,26.5
8.15,26.3
8.2,26.1
8.25,25.9
8.3,25.7
8.35,25.5
8.4,25.3
8.45,25.1
8.5,24.9
8.55,24.7
8.6,24.5
8.65,24.3
8.7,24.2
8.75,24
8.8,23.8
8.85,23.6
8.9,23.4
8.95,23.2
9,23.1
9.05,22.9
9.1,22.7
9.15,22.6
9.2,22.4
9.25,22.2
9.3,22.1
9.35,21.9
9.4,21.7
9.45,21.6
9.5,21.4
9.55,21.3
9.6,21.1
9.65,21
9.7,20.8
9.75,20.7
9.8,20.5
9.85,20.4
9.9,20.2
9.95,20.1
10,20
